,t0,LZ,dt_LZ,IOI
0.0,0.0,0.029897352853986262,0.0,1.0
1.0,1.0,0.029897352853986262,0.0,1.0
2.0,2.0,0.029897352853986262,0.0,1.0
3.0,3.0,0.08969205856195879,0.05979470570797253,0.1111111111111111
4.0,4.0,0.06976048999263461,-0.019931568569324182,0.16666666666666666
5.0,5.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
6.0,6.0,0.0797262742772967,0.0,0.125
7.0,7.0,0.08969205856195879,0.009965784284662091,0.14285714285714285
8.0,8.0,0.06976048999263461,-0.019931568569324182,0.125
9.0,9.0,0.06976048999263461,0.0,0.16666666666666666
10.0,10.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
11.0,11.0,0.049828921423310434,-0.029897352853986266,0.2
12.0,12.0,0.0797262742772967,0.029897352853986266,0.14285714285714285
13.0,13.0,0.0797262742772967,0.0,0.14285714285714285
14.0,14.0,0.09965784284662087,0.019931568569324168,0.1111111111111111
15.0,15.0,0.049828921423310434,-0.049828921423310434,0.16666666666666666
16.0,16.0,0.0797262742772967,0.029897352853986266,0.16666666666666666
17.0,17.0,0.06976048999263461,-0.009965784284662091,0.2
18.0,18.0,0.0797262742772967,0.009965784284662091,0.125
19.0,19.0,0.06976048999263461,-0.009965784284662091,0.16666666666666666
20.0,20.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
21.0,21.0,0.049828921423310434,-0.029897352853986266,0.5
22.0,22.0,0.049828921423310434,0.0,0.25
23.0,23.0,0.059794705707972524,0.009965784284662091,0.25
24.0,24.0,0.049828921423310434,-0.009965784284662091,0.25
25.0,25.0,0.06976048999263461,0.019931568569324175,0.2
26.0,26.0,0.06976048999263461,0.0,0.25
27.0,27.0,0.06976048999263461,0.0,0.25
28.0,28.0,0.06976048999263461,0.0,0.2
29.0,29.0,0.049828921423310434,-0.019931568569324175,0.5
30.0,30.0,0.0797262742772967,0.029897352853986266,0.2
31.0,31.0,0.06976048999263461,-0.009965784284662091,0.16666666666666666
32.0,32.0,0.06976048999263461,0.0,0.25
33.0,33.0,0.0797262742772967,0.009965784284662091,0.2
34.0,34.0,0.03986313713864835,-0.03986313713864835,0.25
35.0,35.0,0.0797262742772967,0.03986313713864835,0.2
36.0,36.0,0.03986313713864835,-0.03986313713864835,0.25
37.0,37.0,0.059794705707972524,0.019931568569324175,0.2
38.0,38.0,0.06976048999263461,0.009965784284662084,0.25
39.0,39.0,0.0797262742772967,0.009965784284662091,0.25
40.0,40.0,0.049828921423310434,-0.029897352853986266,0.25
41.0,41.0,0.06976048999263461,0.019931568569324175,0.16666666666666666
42.0,42.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
43.0,43.0,0.03986313713864835,-0.009965784284662084,0.5
44.0,44.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
45.0,45.0,0.059794705707972524,0.0,0.3333333333333333
46.0,46.0,0.06976048999263461,0.009965784284662084,0.25
47.0,47.0,0.06976048999263461,0.0,0.16666666666666666
48.0,48.0,0.059794705707972524,-0.009965784284662084,0.25
49.0,49.0,0.0797262742772967,0.019931568569324175,0.2
50.0,50.0,0.059794705707972524,-0.019931568569324175,0.5
51.0,51.0,0.0797262742772967,0.019931568569324175,0.125
52.0,52.0,0.059794705707972524,-0.019931568569324175,0.25
53.0,53.0,0.06976048999263461,0.009965784284662084,0.2
54.0,54.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
55.0,55.0,0.08969205856195879,0.009965784284662091,0.16666666666666666
56.0,56.0,0.059794705707972524,-0.029897352853986266,0.2
57.0,57.0,0.06976048999263461,0.009965784284662084,0.125
58.0,58.0,0.0797262742772967,0.009965784284662091,0.125
59.0,59.0,0.06976048999263461,-0.009965784284662091,0.3333333333333333
60.0,60.0,0.0797262742772967,0.009965784284662091,0.125
61.0,61.0,0.06976048999263461,-0.009965784284662091,0.14285714285714285
62.0,62.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
63.0,63.0,0.059794705707972524,0.009965784284662091,0.25
64.0,64.0,0.06976048999263461,0.009965784284662084,0.16666666666666666
65.0,65.0,0.059794705707972524,-0.009965784284662084,0.25
66.0,66.0,0.059794705707972524,0.0,0.25
67.0,67.0,0.0797262742772967,0.019931568569324175,0.14285714285714285
68.0,68.0,0.0797262742772967,0.0,0.2
69.0,69.0,0.049828921423310434,-0.029897352853986266,0.2
70.0,70.0,0.06976048999263461,0.019931568569324175,0.1111111111111111
71.0,71.0,0.059794705707972524,-0.009965784284662084,0.2
72.0,72.0,0.06976048999263461,0.009965784284662084,0.14285714285714285
73.0,73.0,0.0797262742772967,0.009965784284662091,0.125
74.0,74.0,0.06976048999263461,-0.009965784284662091,0.125
75.0,75.0,0.0797262742772967,0.009965784284662091,0.1111111111111111
76.0,76.0,0.09965784284662087,0.019931568569324168,0.1111111111111111
77.0,77.0,0.06976048999263461,-0.02989735285398626,0.125
78.0,78.0,0.06976048999263461,0.0,0.14285714285714285
79.0,79.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
80.0,80.0,0.06976048999263461,0.019931568569324175,0.2
81.0,81.0,0.059794705707972524,-0.009965784284662084,0.2
82.0,82.0,0.03986313713864835,-0.019931568569324175,0.25
83.0,83.0,0.049828921423310434,0.009965784284662084,0.2
84.0,84.0,0.06976048999263461,0.019931568569324175,0.25
85.0,85.0,0.059794705707972524,-0.009965784284662084,0.25
86.0,86.0,0.059794705707972524,0.0,0.3333333333333333
87.0,87.0,0.059794705707972524,0.0,0.3333333333333333
88.0,88.0,0.059794705707972524,0.0,0.2
89.0,89.0,0.06976048999263461,0.009965784284662084,0.25
90.0,90.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333
91.0,91.0,0.06976048999263461,0.009965784284662084,0.16666666666666666
92.0,92.0,0.059794705707972524,-0.009965784284662084,0.25
93.0,93.0,0.059794705707972524,0.0,0.25
94.0,94.0,0.06976048999263461,0.009965784284662084,0.2
95.0,95.0,0.059794705707972524,-0.009965784284662084,0.2
96.0,96.0,0.049828921423310434,-0.009965784284662091,0.16666666666666666
97.0,97.0,0.06976048999263461,0.019931568569324175,0.2
98.0,98.0,0.049828921423310434,-0.019931568569324175,0.16666666666666666
99.0,99.0,0.059794705707972524,0.009965784284662091,0.2
100.0,100.0,0.06976048999263461,0.009965784284662084,0.14285714285714285
101.0,101.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
102.0,102.0,0.06976048999263461,-0.009965784284662091,0.14285714285714285
103.0,103.0,0.059794705707972524,-0.009965784284662084,0.16666666666666666
104.0,104.0,0.0797262742772967,0.019931568569324175,0.14285714285714285
105.0,105.0,0.06976048999263461,-0.009965784284662091,0.09090909090909091
106.0,106.0,0.08969205856195879,0.019931568569324182,0.14285714285714285
107.0,107.0,0.049828921423310434,-0.03986313713864836,0.25
108.0,108.0,0.06976048999263461,0.019931568569324175,0.16666666666666666
109.0,109.0,0.06976048999263461,0.0,0.25
110.0,110.0,0.059794705707972524,-0.009965784284662084,0.25
111.0,111.0,0.049828921423310434,-0.009965784284662091,0.5
112.0,112.0,0.019931568569324175,-0.02989735285398626,0.0
