,t0,LZ,dt_LZ,IOI
43.0,43.0,0.059794705707972524,0.009965784284662091,0.25
44.0,44.0,0.06976048999263461,0.009965784284662084,0.3333333333333333
45.0,45.0,0.049828921423310434,-0.019931568569324175,0.5
46.0,46.0,0.06976048999263461,0.019931568569324175,0.2
47.0,47.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
48.0,48.0,0.03986313713864835,-0.009965784284662084,0.5
49.0,49.0,0.049828921423310434,0.009965784284662084,0.5
50.0,50.0,0.06976048999263461,0.019931568569324175,0.2
51.0,51.0,0.03986313713864835,-0.02989735285398626,1.0
52.0,52.0,0.03986313713864835,0.0,1.0
53.0,53.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
54.0,54.0,0.059794705707972524,0.0,0.5
55.0,55.0,0.059794705707972524,0.0,0.3333333333333333
56.0,56.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
57.0,57.0,0.03986313713864835,-0.009965784284662084,0.5
58.0,58.0,0.049828921423310434,0.009965784284662084,0.2
59.0,59.0,0.059794705707972524,0.009965784284662091,0.5
60.0,60.0,0.03986313713864835,-0.019931568569324175,1.0
61.0,61.0,0.049828921423310434,0.009965784284662084,0.5
62.0,62.0,0.049828921423310434,0.0,0.5
63.0,63.0,0.049828921423310434,0.0,0.5
64.0,64.0,0.0797262742772967,0.029897352853986266,0.16666666666666666
65.0,65.0,0.0797262742772967,0.0,0.16666666666666666
66.0,66.0,0.06976048999263461,-0.009965784284662091,0.125
67.0,67.0,0.06976048999263461,0.0,0.2
68.0,68.0,0.059794705707972524,-0.009965784284662084,0.25
69.0,69.0,0.06976048999263461,0.009965784284662084,0.2
70.0,70.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
71.0,71.0,0.03986313713864835,-0.009965784284662084,1.0
72.0,72.0,0.0797262742772967,0.03986313713864835,0.25
73.0,73.0,0.049828921423310434,-0.029897352853986266,0.2
74.0,74.0,0.049828921423310434,0.0,0.25
75.0,75.0,0.0797262742772967,0.029897352853986266,0.25
76.0,76.0,0.059794705707972524,-0.019931568569324175,0.2
77.0,77.0,0.0797262742772967,0.019931568569324175,0.125
78.0,78.0,0.029897352853986262,-0.04982892142331044,1.0
79.0,79.0,0.059794705707972524,0.029897352853986262,0.25
80.0,80.0,0.08969205856195879,0.029897352853986266,0.16666666666666666
81.0,81.0,0.029897352853986262,-0.05979470570797253,1.0
82.0,82.0,0.06976048999263461,0.03986313713864835,0.25
83.0,83.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
84.0,84.0,0.049828921423310434,0.0,0.5
85.0,85.0,0.06976048999263461,0.019931568569324175,0.25
86.0,86.0,0.019931568569324175,-0.049828921423310434,0.0
87.0,87.0,0.049828921423310434,0.02989735285398626,0.3333333333333333
88.0,88.0,0.049828921423310434,0.0,0.3333333333333333
89.0,89.0,0.049828921423310434,0.0,0.25
90.0,90.0,0.03986313713864835,-0.009965784284662084,1.0
91.0,91.0,0.029897352853986262,-0.009965784284662087,1.0
92.0,92.0,0.049828921423310434,0.01993156856932417,0.3333333333333333
93.0,93.0,0.049828921423310434,0.0,0.3333333333333333
94.0,94.0,0.059794705707972524,0.009965784284662091,0.25
95.0,95.0,0.049828921423310434,-0.009965784284662091,0.5
96.0,96.0,0.049828921423310434,0.0,0.3333333333333333
97.0,97.0,0.03986313713864835,-0.009965784284662084,0.3333333333333333
98.0,98.0,0.03986313713864835,0.0,0.5
99.0,99.0,0.049828921423310434,0.009965784284662084,0.25
100.0,100.0,0.049828921423310434,0.0,0.3333333333333333
101.0,101.0,0.049828921423310434,0.0,0.5
102.0,102.0,0.03986313713864835,-0.009965784284662084,1.0
103.0,103.0,0.019931568569324175,-0.019931568569324175,0.0
104.0,104.0,0.019931568569324175,0.0,0.0
105.0,105.0,0.029897352853986262,0.009965784284662087,0.5
106.0,106.0,0.029897352853986262,0.0,1.0
107.0,107.0,0.06976048999263461,0.03986313713864835,0.25
108.0,108.0,0.059794705707972524,-0.009965784284662084,0.2
109.0,109.0,0.03986313713864835,-0.019931568569324175,0.5
110.0,110.0,0.03986313713864835,0.0,0.25
111.0,111.0,0.06976048999263461,0.02989735285398626,0.25
112.0,112.0,0.06976048999263461,0.0,0.25
113.0,113.0,0.019931568569324175,-0.049828921423310434,0.0
114.0,114.0,0.049828921423310434,0.02989735285398626,0.3333333333333333
115.0,115.0,0.049828921423310434,0.0,0.3333333333333333
116.0,116.0,0.059794705707972524,0.009965784284662091,0.25
117.0,117.0,0.059794705707972524,0.0,0.25
118.0,118.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
119.0,119.0,0.049828921423310434,0.0,0.3333333333333333
120.0,120.0,0.03986313713864835,-0.009965784284662084,0.25
121.0,121.0,0.03986313713864835,0.0,1.0
122.0,122.0,0.029897352853986262,-0.009965784284662087,1.0
123.0,123.0,0.03986313713864835,0.009965784284662087,0.5
124.0,124.0,0.03986313713864835,0.0,1.0
125.0,125.0,0.029897352853986262,-0.009965784284662087,1.0
126.0,126.0,0.059794705707972524,0.029897352853986262,0.25
127.0,127.0,0.029897352853986262,-0.029897352853986262,0.5
128.0,128.0,0.049828921423310434,0.01993156856932417,0.2
129.0,129.0,0.049828921423310434,0.0,0.3333333333333333
130.0,130.0,0.059794705707972524,0.009965784284662091,0.3333333333333333
131.0,131.0,0.059794705707972524,0.0,0.25
132.0,132.0,0.03986313713864835,-0.019931568569324175,0.5
133.0,133.0,0.03986313713864835,0.0,1.0
134.0,134.0,0.049828921423310434,0.009965784284662084,0.5
135.0,135.0,0.049828921423310434,0.0,0.3333333333333333
136.0,136.0,0.03986313713864835,-0.009965784284662084,0.5
137.0,137.0,0.059794705707972524,0.019931568569324175,0.2
138.0,138.0,0.019931568569324175,-0.03986313713864835,0.0
139.0,139.0,0.049828921423310434,0.02989735285398626,0.3333333333333333
140.0,140.0,0.029897352853986262,-0.01993156856932417,1.0
141.0,141.0,0.06976048999263461,0.03986313713864835,0.16666666666666666
142.0,142.0,0.059794705707972524,-0.009965784284662084,0.5
143.0,143.0,0.06976048999263461,0.009965784284662084,0.16666666666666666
144.0,144.0,0.049828921423310434,-0.019931568569324175,0.5
145.0,145.0,0.06976048999263461,0.019931568569324175,0.3333333333333333
146.0,146.0,0.06976048999263461,0.0,0.25
147.0,147.0,0.029897352853986262,-0.03986313713864835,0.5
148.0,148.0,0.03986313713864835,0.009965784284662087,0.25
149.0,149.0,0.049828921423310434,0.009965784284662084,0.5
150.0,150.0,0.059794705707972524,0.009965784284662091,0.14285714285714285
151.0,151.0,0.08969205856195879,0.029897352853986266,0.125
152.0,152.0,0.0797262742772967,-0.009965784284662091,0.16666666666666666
153.0,153.0,0.0797262742772967,0.0,0.125
154.0,154.0,0.059794705707972524,-0.019931568569324175,0.25
155.0,155.0,0.059794705707972524,0.0,0.25
156.0,156.0,0.059794705707972524,0.0,0.2
157.0,157.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
158.0,158.0,0.059794705707972524,0.009965784284662091,0.25
159.0,159.0,0.059794705707972524,0.0,0.25
160.0,160.0,0.03986313713864835,-0.019931568569324175,0.3333333333333333
161.0,161.0,0.049828921423310434,0.009965784284662084,0.5
162.0,162.0,0.049828921423310434,0.0,0.5
163.0,163.0,0.049828921423310434,0.0,0.5
164.0,164.0,0.03986313713864835,-0.009965784284662084,1.0
165.0,165.0,0.03986313713864835,0.0,1.0
166.0,166.0,0.059794705707972524,0.019931568569324175,0.25
167.0,167.0,0.059794705707972524,0.0,0.5
168.0,168.0,0.06976048999263461,0.009965784284662084,0.25
169.0,169.0,0.03986313713864835,-0.02989735285398626,1.0
170.0,170.0,0.029897352853986262,-0.009965784284662087,1.0
171.0,171.0,0.049828921423310434,0.01993156856932417,0.5
172.0,172.0,0.049828921423310434,0.0,0.25
173.0,173.0,0.06976048999263461,0.019931568569324175,0.2
174.0,174.0,0.03986313713864835,-0.02989735285398626,0.5
175.0,175.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
176.0,176.0,0.06976048999263461,0.019931568569324175,0.25
177.0,177.0,0.049828921423310434,-0.019931568569324175,0.25
178.0,178.0,0.03986313713864835,-0.009965784284662084,0.5
179.0,179.0,0.059794705707972524,0.019931568569324175,0.5
180.0,180.0,0.049828921423310434,-0.009965784284662091,0.5
181.0,181.0,0.03986313713864835,-0.009965784284662084,1.0
182.0,182.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
183.0,183.0,0.029897352853986262,-0.029897352853986262,0.5
184.0,184.0,0.049828921423310434,0.01993156856932417,0.25
185.0,185.0,0.06976048999263461,0.019931568569324175,0.25
186.0,186.0,0.059794705707972524,-0.009965784284662084,0.2
187.0,187.0,0.059794705707972524,0.0,0.2
188.0,188.0,0.029897352853986262,-0.029897352853986262,0.5
189.0,189.0,0.03986313713864835,0.009965784284662087,0.25
190.0,190.0,0.03986313713864835,0.0,0.25
191.0,191.0,0.029897352853986262,-0.009965784284662087,1.0
192.0,192.0,0.049828921423310434,0.01993156856932417,0.16666666666666666
193.0,193.0,0.059794705707972524,0.009965784284662091,0.3333333333333333
194.0,194.0,0.059794705707972524,0.0,0.2
195.0,195.0,0.06976048999263461,0.009965784284662084,0.14285714285714285
196.0,196.0,0.0797262742772967,0.009965784284662091,0.16666666666666666
197.0,197.0,0.06976048999263461,-0.009965784284662091,0.125
198.0,198.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
199.0,199.0,0.06976048999263461,-0.009965784284662091,0.16666666666666666
200.0,200.0,0.0797262742772967,0.009965784284662091,0.14285714285714285
201.0,201.0,0.059794705707972524,-0.019931568569324175,0.2
202.0,202.0,0.08969205856195879,0.029897352853986266,0.125
203.0,203.0,0.08969205856195879,0.0,0.2
204.0,204.0,0.059794705707972524,-0.029897352853986266,0.2
205.0,205.0,0.06976048999263461,0.009965784284662084,0.16666666666666666
206.0,206.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
207.0,207.0,0.03986313713864835,-0.009965784284662084,0.3333333333333333
208.0,208.0,0.03986313713864835,0.0,0.5
209.0,209.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
210.0,210.0,0.059794705707972524,0.009965784284662091,0.3333333333333333
211.0,211.0,0.059794705707972524,0.0,0.25
212.0,212.0,0.049828921423310434,-0.009965784284662091,0.5
213.0,213.0,0.06976048999263461,0.019931568569324175,0.25
214.0,214.0,0.019931568569324175,-0.049828921423310434,0.0
215.0,215.0,0.019931568569324175,0.0,0.0
216.0,216.0,0.019931568569324175,0.0,0.0
217.0,217.0,0.03986313713864835,0.019931568569324175,1.0
218.0,218.0,0.019931568569324175,-0.019931568569324175,0.0
