,t0,LZ,dt_LZ,IOI
0.0,0.0,0.023931568569324175,0.0,0.8
4.0,4.0,0.023931568569324175,0.0,0.4444444444444444
8.0,8.0,0.038888798925151784,0.0037393075889569022,0.26666666666666666
12.0,12.0,0.026923014640489698,-0.0029914460711655214,0.3333333333333333
16.0,16.0,0.029914460711655218,0.0007478615177913799,0.4444444444444444
20.0,20.0,0.035897352853986264,0.0014957230355827616,0.2857142857142857
24.0,24.0,0.035897352853986264,0.0,0.26666666666666666
28.0,28.0,0.026923014640489698,-0.0022435845533741415,0.4444444444444444
32.0,32.0,0.03290590678282074,0.0014957230355827598,0.4
36.0,36.0,0.023931568569324175,-0.0022435845533741406,0.5
40.0,40.0,0.023931568569324175,0.0,0.6666666666666666
44.0,44.0,0.029914460711655218,0.0014957230355827607,0.4
48.0,48.0,0.03290590678282074,0.0007478615177913799,0.25
52.0,52.0,0.038888798925151784,0.0014957230355827616,0.21052631578947367
56.0,56.0,0.04487169106748283,0.0014957230355827616,0.2222222222222222
60.0,60.0,0.04786313713864835,0.0007478615177913799,0.19047619047619047
64.0,64.0,0.0418802449963173,-0.0014957230355827616,0.2222222222222222
68.0,68.0,0.03290590678282074,-0.0022435845533741415,0.3333333333333333
72.0,72.0,0.04487169106748283,0.002991446071165523,0.21052631578947367
76.0,76.0,0.023931568569324175,-0.005235030624539664,0.5714285714285714
80.0,80.0,0.02094012249815865,-0.0007478615177913808,0.8
84.0,84.0,0.026923014640489698,0.0014957230355827616,0.5
88.0,88.0,0.029914460711655218,0.0007478615177913799,0.4
92.0,92.0,0.023931568569324175,-0.0014957230355827607,0.4444444444444444
96.0,96.0,0.0418802449963173,0.004487169106748282,0.2222222222222222
100.0,100.0,0.029914460711655218,-0.0029914460711655214,0.36363636363636365
104.0,104.0,0.03290590678282074,0.0007478615177913799,0.36363636363636365
108.0,108.0,0.035897352853986264,0.0007478615177913817,0.36363636363636365
112.0,112.0,0.04487169106748283,0.0022435845533741415,0.23529411764705882
116.0,116.0,0.053846029280979396,0.0022435845533741415,0.18181818181818182
120.0,120.0,0.035897352853986264,-0.004487169106748283,0.3076923076923077
124.0,124.0,0.04487169106748283,0.0022435845533741415,0.18181818181818182
128.0,128.0,0.05085458320981387,0.0014957230355827598,0.2
132.0,132.0,0.03290590678282074,-0.004487169106748283,0.4444444444444444
136.0,136.0,0.023931568569324175,-0.0022435845533741406,0.4
140.0,140.0,0.023931568569324175,0.0,0.4
144.0,144.0,0.026923014640489698,0.0007478615177913808,0.4444444444444444
148.0,148.0,0.029914460711655218,0.0007478615177913799,0.4
152.0,152.0,0.03290590678282074,0.0007478615177913799,0.25
156.0,156.0,0.0418802449963173,0.0022435845533741415,0.2
160.0,160.0,0.03290590678282074,-0.0022435845533741415,0.5
