,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.026923014640489698,0.0,2285.714285714286,7
4.0,4.0,0.023931568569324175,-0.0007478615177913808,1777.7777777777778,9
8.0,8.0,0.04487169106748283,0.005235030624539664,761.9047619047619,21
12.0,12.0,0.04786313713864835,0.0007478615177913799,695.6521739130435,23
16.0,16.0,0.04487169106748283,-0.0007478615177913799,800.0,20
20.0,20.0,0.053846029280979396,0.0022435845533741415,666.6666666666666,24
24.0,24.0,0.029914460711655218,-0.005982892142331045,1230.7692307692307,13
28.0,28.0,0.0418802449963173,0.0029914460711655214,941.1764705882352,17
32.0,32.0,0.04786313713864835,0.0014957230355827616,695.6521739130435,23
36.0,36.0,0.026923014640489698,-0.005235030624539663,1600.0,10
40.0,40.0,0.04487169106748283,0.004487169106748283,1066.6666666666667,15
44.0,44.0,0.035897352853986264,-0.0022435845533741415,1142.857142857143,14
48.0,48.0,0.04487169106748283,0.0022435845533741415,842.1052631578947,19
52.0,52.0,0.0418802449963173,-0.0007478615177913817,842.1052631578947,19
56.0,56.0,0.0418802449963173,0.0,888.8888888888889,18
60.0,60.0,0.0418802449963173,0.0,1000.0,16
64.0,64.0,0.04786313713864835,0.0014957230355827616,761.9047619047619,21
68.0,68.0,0.04786313713864835,0.0,516.1290322580645,31
72.0,72.0,0.0418802449963173,-0.0014957230355827616,888.8888888888889,18
76.0,76.0,0.05085458320981387,0.0022435845533741415,551.7241379310345,29
80.0,80.0,0.035897352853986264,-0.0037393075889569014,1066.6666666666667,15
84.0,84.0,0.029914460711655218,-0.0014957230355827616,1333.3333333333333,12
88.0,88.0,0.0418802449963173,0.0029914460711655214,941.1764705882352,17
92.0,92.0,0.03290590678282074,-0.0022435845533741415,1454.5454545454545,11
96.0,96.0,0.0418802449963173,0.0022435845533741415,941.1764705882352,17
100.0,100.0,0.05085458320981387,0.0022435845533741415,761.9047619047619,21
104.0,104.0,0.029914460711655218,-0.005235030624539663,1454.5454545454545,11
108.0,108.0,0.04786313713864835,0.004487169106748283,695.6521739130435,23
112.0,112.0,0.035897352853986264,-0.0029914460711655214,1142.857142857143,14
116.0,116.0,0.03290590678282074,-0.0007478615177913817,1066.6666666666667,15
120.0,120.0,0.029914460711655218,-0.0007478615177913799,1066.6666666666667,15
124.0,124.0,0.029914460711655218,0.0,1777.7777777777778,9
128.0,128.0,0.029914460711655218,0.0,1333.3333333333333,12
132.0,132.0,0.029914460711655218,0.0,1066.6666666666667,15
136.0,136.0,0.03290590678282074,0.0007478615177913799,1230.7692307692307,13
140.0,140.0,0.0418802449963173,0.0022435845533741415,1000.0,16
144.0,144.0,0.0418802449963173,0.0,1000.0,16
148.0,148.0,0.029914460711655218,-0.0029914460711655214,1142.857142857143,14
152.0,152.0,0.05085458320981387,0.005235030624539663,666.6666666666666,24
156.0,156.0,0.03290590678282074,-0.004487169106748283,1142.857142857143,14
160.0,160.0,0.0418802449963173,0.0022435845533741415,1230.7692307692307,13
164.0,164.0,0.04487169106748283,0.0007478615177913817,888.8888888888889,18
168.0,168.0,0.038888798925151784,-0.0014957230355827616,1000.0,16
172.0,172.0,0.04487169106748283,0.0014957230355827616,888.8888888888889,18
176.0,176.0,0.0418802449963173,-0.0007478615177913817,941.1764705882352,17
180.0,180.0,0.0418802449963173,0.0,888.8888888888889,18
184.0,184.0,0.038888798925151784,-0.0007478615177913799,888.8888888888889,18
188.0,188.0,0.04487169106748283,0.0014957230355827616,1000.0,16
192.0,192.0,0.0418802449963173,-0.0007478615177913817,1142.857142857143,14
196.0,196.0,0.04786313713864835,0.0014957230355827616,666.6666666666666,24
200.0,200.0,0.035897352853986264,-0.0029914460711655214,800.0,20
204.0,204.0,0.035897352853986264,0.0,1066.6666666666667,15
