,t0,LZ,dt_LZ,IOI
0.0,0.0,0.023931568569324175,0.0,1.0
4.0,4.0,0.03290590678282074,0.0022435845533741406,0.3333333333333333
8.0,8.0,0.04487169106748283,0.002991446071165523,0.18181818181818182
12.0,12.0,0.0418802449963173,-0.0007478615177913817,0.2857142857142857
16.0,16.0,0.03290590678282074,-0.0022435845533741415,0.3333333333333333
20.0,20.0,0.038888798925151784,0.0014957230355827616,0.3076923076923077
24.0,24.0,0.038888798925151784,0.0,0.2857142857142857
28.0,28.0,0.026923014640489698,-0.0029914460711655214,0.5
32.0,32.0,0.026923014640489698,0.0,0.5
36.0,36.0,0.035897352853986264,0.0022435845533741415,0.4
40.0,40.0,0.03290590678282074,-0.0007478615177913817,0.2857142857142857
44.0,44.0,0.038888798925151784,0.0014957230355827616,0.25
48.0,48.0,0.04487169106748283,0.0014957230355827616,0.26666666666666666
52.0,52.0,0.035897352853986264,-0.0022435845533741415,0.36363636363636365
56.0,56.0,0.0418802449963173,0.0014957230355827598,0.25
60.0,60.0,0.029914460711655218,-0.0029914460711655214,0.3076923076923077
64.0,64.0,0.035897352853986264,0.0014957230355827616,0.3076923076923077
68.0,68.0,0.0418802449963173,0.0014957230355827598,0.19047619047619047
72.0,72.0,0.05085458320981387,0.0022435845533741415,0.21052631578947367
76.0,76.0,0.035897352853986264,-0.0037393075889569014,0.2857142857142857
80.0,80.0,0.035897352853986264,0.0,0.2857142857142857
84.0,84.0,0.038888798925151784,0.0007478615177913799,0.21052631578947367
88.0,88.0,0.04487169106748283,0.0014957230355827616,0.17391304347826086
92.0,92.0,0.05085458320981387,0.0014957230355827598,0.16666666666666666
96.0,96.0,0.05085458320981387,0.0,0.19047619047619047
100.0,100.0,0.04487169106748283,-0.0014957230355827598,0.2222222222222222
104.0,104.0,0.0418802449963173,-0.0007478615177913817,0.2857142857142857
108.0,108.0,0.038888798925151784,-0.0007478615177913799,0.25
112.0,112.0,0.026923014640489698,-0.0029914460711655214,0.4
116.0,116.0,0.026923014640489698,0.0,0.4444444444444444
