,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.029914460711655218,0.0,0.4444444444444444,9
4.0,4.0,0.04786313713864835,0.004487169106748283,0.2222222222222222,18
8.0,8.0,0.029914460711655218,-0.004487169106748283,0.3076923076923077,13
12.0,12.0,0.05085458320981387,0.005235030624539663,0.2,20
16.0,16.0,0.038888798925151784,-0.0029914460711655214,0.2222222222222222,18
20.0,20.0,0.0418802449963173,0.0007478615177913799,0.2222222222222222,18
24.0,24.0,0.035897352853986264,-0.0014957230355827598,0.25,16
28.0,28.0,0.04786313713864835,0.0029914460711655214,0.23529411764705882,17
32.0,32.0,0.05085458320981387,0.0007478615177913799,0.18181818181818182,22
36.0,36.0,0.04487169106748283,-0.0014957230355827598,0.25,16
40.0,40.0,0.04487169106748283,0.0,0.2,20
44.0,44.0,0.03290590678282074,-0.002991446071165523,0.4444444444444444,9
48.0,48.0,0.04487169106748283,0.002991446071165523,0.17391304347826086,23
52.0,52.0,0.03290590678282074,-0.002991446071165523,0.26666666666666666,15
56.0,56.0,0.03290590678282074,0.0,0.26666666666666666,15
60.0,60.0,0.038888798925151784,0.0014957230355827616,0.25,16
64.0,64.0,0.038888798925151784,0.0,0.25,16
68.0,68.0,0.038888798925151784,0.0,0.25,16
72.0,72.0,0.0418802449963173,0.0007478615177913799,0.25,16
76.0,76.0,0.0418802449963173,0.0,0.19047619047619047,21
80.0,80.0,0.035897352853986264,-0.0014957230355827598,0.3076923076923077,13
84.0,84.0,0.03290590678282074,-0.0007478615177913817,0.23529411764705882,17
88.0,88.0,0.038888798925151784,0.0014957230355827616,0.21052631578947367,19
92.0,92.0,0.05085458320981387,0.0029914460711655214,0.18181818181818182,22
96.0,96.0,0.05085458320981387,0.0,0.18181818181818182,22
100.0,100.0,0.056837475352144916,0.0014957230355827616,0.19047619047619047,21
104.0,104.0,0.04786313713864835,-0.0022435845533741415,0.23529411764705882,17
108.0,108.0,0.04786313713864835,0.0,0.2222222222222222,18
112.0,112.0,0.04487169106748283,-0.0007478615177913799,0.25,16
116.0,116.0,0.02094012249815865,-0.005982892142331045,0.8,5
120.0,120.0,0.04786313713864835,0.0067307536601224245,0.21052631578947367,19
124.0,124.0,0.04487169106748283,-0.0007478615177913799,0.21052631578947367,19
128.0,128.0,0.04487169106748283,0.0,0.16,25
132.0,132.0,0.053846029280979396,0.0022435845533741415,0.13793103448275862,29
136.0,136.0,0.0418802449963173,-0.002991446071165523,0.17391304347826086,23
140.0,140.0,0.04786313713864835,0.0014957230355827616,0.14285714285714285,28
144.0,144.0,0.04786313713864835,0.0,0.16666666666666666,24
148.0,148.0,0.035897352853986264,-0.0029914460711655214,0.4,10
152.0,152.0,0.038888798925151784,0.0007478615177913799,0.23529411764705882,17
156.0,156.0,0.05085458320981387,0.0029914460711655214,0.18181818181818182,22
160.0,160.0,0.04487169106748283,-0.0014957230355827598,0.16666666666666666,24
164.0,164.0,0.04786313713864835,0.0007478615177913799,0.21052631578947367,19
168.0,168.0,0.04487169106748283,-0.0007478615177913799,0.17391304347826086,23
172.0,172.0,0.03290590678282074,-0.002991446071165523,0.4444444444444444,9
