,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.023931568569324175,0.0,1.0,4
4.0,4.0,0.008974338213496566,-0.0037393075889569022,2.0,2
8.0,8.0,0.023931568569324175,0.0037393075889569022,0.5714285714285714,7
12.0,12.0,0.017948676426993132,-0.0014957230355827607,0.8,5
16.0,16.0,0.029914460711655218,0.0029914460711655214,0.3333333333333333,12
20.0,20.0,0.038888798925151784,0.0022435845533741415,0.2857142857142857,14
24.0,24.0,0.038888798925151784,0.0,0.26666666666666666,15
28.0,28.0,0.029914460711655218,-0.0022435845533741415,0.3076923076923077,13
32.0,32.0,0.038888798925151784,0.0022435845533741415,0.26666666666666666,15
36.0,36.0,0.04487169106748283,0.0014957230355827616,0.2,20
40.0,40.0,0.053846029280979396,0.0022435845533741415,0.16666666666666666,24
44.0,44.0,0.0418802449963173,-0.002991446071165523,0.21052631578947367,19
48.0,48.0,0.0418802449963173,0.0,0.2,20
52.0,52.0,0.04786313713864835,0.0014957230355827616,0.21052631578947367,19
56.0,56.0,0.038888798925151784,-0.0022435845533741415,0.18181818181818182,22
60.0,60.0,0.04487169106748283,0.0014957230355827616,0.23529411764705882,17
64.0,64.0,0.059828921423310436,0.0037393075889569014,0.14814814814814814,27
68.0,68.0,0.04786313713864835,-0.0029914460711655214,0.18181818181818182,22
72.0,72.0,0.0418802449963173,-0.0014957230355827616,0.21052631578947367,19
76.0,76.0,0.04786313713864835,0.0014957230355827616,0.12903225806451613,31
80.0,80.0,0.06282036749447596,0.003739307588956903,0.11764705882352941,34
84.0,84.0,0.068803259636807,0.0014957230355827598,0.11764705882352941,34
88.0,88.0,0.056837475352144916,-0.0029914460711655214,0.14285714285714285,28
92.0,92.0,0.056837475352144916,0.0,0.15384615384615385,26
96.0,96.0,0.04786313713864835,-0.0022435845533741415,0.16666666666666666,24
100.0,100.0,0.0418802449963173,-0.0014957230355827616,0.23529411764705882,17
104.0,104.0,0.05085458320981387,0.0022435845533741415,0.18181818181818182,22
108.0,108.0,0.05085458320981387,0.0,0.19047619047619047,21
112.0,112.0,0.05085458320981387,0.0,0.17391304347826086,23
116.0,116.0,0.05085458320981387,0.0,0.2222222222222222,18
120.0,120.0,0.038888798925151784,-0.0029914460711655214,0.2222222222222222,18
124.0,124.0,0.03290590678282074,-0.0014957230355827616,0.26666666666666666,15
128.0,128.0,0.03290590678282074,0.0,0.26666666666666666,15
132.0,132.0,0.0418802449963173,0.0022435845533741415,0.25,16
136.0,136.0,0.0418802449963173,0.0,0.2222222222222222,18
140.0,140.0,0.04487169106748283,0.0007478615177913817,0.21052631578947367,19
144.0,144.0,0.053846029280979396,0.0022435845533741415,0.16666666666666666,24
148.0,148.0,0.04786313713864835,-0.0014957230355827616,0.18181818181818182,22
152.0,152.0,0.035897352853986264,-0.0029914460711655214,0.25,16
156.0,156.0,0.053846029280979396,0.004487169106748283,0.15384615384615385,26
160.0,160.0,0.05085458320981387,-0.0007478615177913817,0.17391304347826086,23
164.0,164.0,0.04487169106748283,-0.0014957230355827598,0.2222222222222222,18
