"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
5.9,19.5,13.6,"Salida","2","6.1","MI","DI","Z1","A2"
19.6,33.6,14.0,"Letra","2","6.2","MI","DI","Z1","A2"
33.7,46.4,12.7,"Letra","2","6.3","MI","DI","Z1","A3"
46.5,59.2,12.7,"Letra","2","6.4","MI","DI","Z1","A3"
59.3,71.7,12.4,"Letra","2","6.5","MI","DI","Z1","A2"
71.7,85.3,13.6,"Escobilla","2","6.6","MI","DI","Z3","A1"
85.4,97.6,12.2,"Escobilla","2","6.7","MI","DI","Z3","A1"
97.7,108.4,10.7,"Interludio","2","6.8","MI","DI","Z1","A2"
108.4,120.4,12.0,"Interludio","2","6.9","MI","DI","Z1","A2"
120.4,133.8,13.4,"Escobilla","2","6.10","MI","DI","Z3","A2"
133.9,146.2,12.3,"Escobilla, subida","2","6.11","MI","DI","Z3","A2"
146.2,158.1,11.9,"Subida, Escobilla","2","6.12","MI","DI","Z3","A1"
158.2,168.1,9.9,"Escobilla","2","6.13","MI","DI","Z3","A1"
168.1,178.2,10.1,"Llamda, Cierre","2","6.14","MI","DI","Z3","A1"

