,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.03986313713864835,0.0,0.5,2
1.0,1.0,0.029897352853986262,-0.009965784284662087,1.0,1
2.0,2.0,0.03986313713864835,0.009965784284662087,1.0,1
3.0,3.0,0.049828921423310434,0.009965784284662084,0.5,2
4.0,4.0,0.029897352853986262,-0.01993156856932417,1.0,1
5.0,5.0,0.029897352853986262,0.0,1.0,1
6.0,6.0,0.06976048999263461,0.03986313713864835,0.14285714285714285,7
7.0,7.0,0.06976048999263461,0.0,0.16666666666666666,6
8.0,8.0,0.06976048999263461,0.0,0.16666666666666666,6
9.0,9.0,0.06976048999263461,0.0,0.16666666666666666,6
10.0,10.0,0.06976048999263461,0.0,0.14285714285714285,7
11.0,11.0,0.059794705707972524,-0.009965784284662084,0.16666666666666666,6
12.0,12.0,0.06976048999263461,0.009965784284662084,0.16666666666666666,6
13.0,13.0,0.059794705707972524,-0.009965784284662084,0.2,5
14.0,14.0,0.03986313713864835,-0.019931568569324175,0.16666666666666666,6
15.0,15.0,0.0797262742772967,0.03986313713864835,0.16666666666666666,6
16.0,16.0,0.059794705707972524,-0.019931568569324175,0.2,5
17.0,17.0,0.059794705707972524,0.0,0.25,4
18.0,18.0,0.06976048999263461,0.009965784284662084,0.16666666666666666,6
19.0,19.0,0.0797262742772967,0.009965784284662091,0.14285714285714285,7
20.0,20.0,0.059794705707972524,-0.019931568569324175,0.25,4
21.0,21.0,0.06976048999263461,0.009965784284662084,0.2,5
22.0,22.0,0.08969205856195879,0.019931568569324182,0.16666666666666666,6
23.0,23.0,0.06976048999263461,-0.019931568569324182,0.2,5
24.0,24.0,0.049828921423310434,-0.019931568569324175,0.2,5
25.0,25.0,0.06976048999263461,0.019931568569324175,0.14285714285714285,7
26.0,26.0,0.0797262742772967,0.009965784284662091,0.14285714285714285,7
27.0,27.0,0.049828921423310434,-0.029897352853986266,0.3333333333333333,3
28.0,28.0,0.0797262742772967,0.029897352853986266,0.14285714285714285,7
29.0,29.0,0.06976048999263461,-0.009965784284662091,0.2,5
30.0,30.0,0.059794705707972524,-0.009965784284662084,0.2,5
31.0,31.0,0.0797262742772967,0.019931568569324175,0.16666666666666666,6
32.0,32.0,0.08969205856195879,0.009965784284662091,0.14285714285714285,7
33.0,33.0,0.06976048999263461,-0.019931568569324182,0.25,4
34.0,34.0,0.0797262742772967,0.009965784284662091,0.14285714285714285,7
35.0,35.0,0.059794705707972524,-0.019931568569324175,0.25,4
36.0,36.0,0.059794705707972524,0.0,0.2,5
37.0,37.0,0.06976048999263461,0.009965784284662084,0.2,5
38.0,38.0,0.06976048999263461,0.0,0.16666666666666666,6
39.0,39.0,0.059794705707972524,-0.009965784284662084,0.2,5
40.0,40.0,0.059794705707972524,0.0,0.2,5
41.0,41.0,0.059794705707972524,0.0,0.2,5
42.0,42.0,0.059794705707972524,0.0,0.16666666666666666,6
43.0,43.0,0.06976048999263461,0.009965784284662084,0.2,5
44.0,44.0,0.0797262742772967,0.009965784284662091,0.16666666666666666,6
45.0,45.0,0.059794705707972524,-0.019931568569324175,0.2,5
46.0,46.0,0.06976048999263461,0.009965784284662084,0.25,4
47.0,47.0,0.08969205856195879,0.019931568569324182,0.14285714285714285,7
48.0,48.0,0.06976048999263461,-0.019931568569324182,0.16666666666666666,6
49.0,49.0,0.0797262742772967,0.009965784284662091,0.16666666666666666,6
50.0,50.0,0.0797262742772967,0.0,0.14285714285714285,7
51.0,51.0,0.06976048999263461,-0.009965784284662091,0.25,4
52.0,52.0,0.06976048999263461,0.0,0.2,5
53.0,53.0,0.049828921423310434,-0.019931568569324175,0.16666666666666666,6
54.0,54.0,0.059794705707972524,0.009965784284662091,0.16666666666666666,6
55.0,55.0,0.0797262742772967,0.019931568569324175,0.16666666666666666,6
56.0,56.0,0.049828921423310434,-0.029897352853986266,0.2,5
57.0,57.0,0.06976048999263461,0.019931568569324175,0.2,5
58.0,58.0,0.06976048999263461,0.0,0.25,4
59.0,59.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333,3
60.0,60.0,0.06976048999263461,0.009965784284662084,0.2,5
61.0,61.0,0.029897352853986262,-0.03986313713864835,0.5,2
62.0,62.0,0.03986313713864835,0.009965784284662087,0.5,2
63.0,63.0,0.03986313713864835,0.0,0.3333333333333333,3
64.0,64.0,0.049828921423310434,0.009965784284662084,0.5,2
65.0,65.0,0.06976048999263461,0.019931568569324175,0.2,5
66.0,66.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333,3
67.0,67.0,0.029897352853986262,-0.01993156856932417,0.5,2
68.0,68.0,0.059794705707972524,0.029897352853986262,0.5,2
69.0,69.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333,3
70.0,70.0,0.08969205856195879,0.03986313713864836,0.14285714285714285,7
71.0,71.0,0.03986313713864835,-0.04982892142331044,0.25,4
72.0,72.0,0.049828921423310434,0.009965784284662084,0.25,4
73.0,73.0,0.06976048999263461,0.019931568569324175,0.2,5
74.0,74.0,0.059794705707972524,-0.009965784284662084,0.2,5
75.0,75.0,0.049828921423310434,-0.009965784284662091,0.25,4
76.0,76.0,0.0797262742772967,0.029897352853986266,0.2,5
77.0,77.0,0.03986313713864835,-0.03986313713864835,0.5,2
78.0,78.0,0.06976048999263461,0.02989735285398626,0.16666666666666666,6
79.0,79.0,0.0797262742772967,0.009965784284662091,0.16666666666666666,6
80.0,80.0,0.06976048999263461,-0.009965784284662091,0.25,4
81.0,81.0,0.059794705707972524,-0.009965784284662084,0.2,5
82.0,82.0,0.0797262742772967,0.019931568569324175,0.2,5
83.0,83.0,0.0797262742772967,0.0,0.16666666666666666,6
84.0,84.0,0.03986313713864835,-0.03986313713864835,0.3333333333333333,3
85.0,85.0,0.0797262742772967,0.03986313713864835,0.2,5
86.0,86.0,0.049828921423310434,-0.029897352853986266,0.25,4
87.0,87.0,0.059794705707972524,0.009965784284662091,0.25,4
88.0,88.0,0.059794705707972524,0.0,0.2,5
89.0,89.0,0.03986313713864835,-0.019931568569324175,0.3333333333333333,3
90.0,90.0,0.049828921423310434,0.009965784284662084,0.25,4
91.0,91.0,0.049828921423310434,0.0,0.3333333333333333,3
92.0,92.0,0.049828921423310434,0.0,0.25,4
93.0,93.0,0.049828921423310434,0.0,0.2,5
94.0,94.0,0.03986313713864835,-0.009965784284662084,0.25,4
95.0,95.0,0.0797262742772967,0.03986313713864835,0.2,5
96.0,96.0,0.059794705707972524,-0.019931568569324175,0.2,5
97.0,97.0,0.059794705707972524,0.0,0.2,5
98.0,98.0,0.049828921423310434,-0.009965784284662091,0.2,5
99.0,99.0,0.06976048999263461,0.019931568569324175,0.2,5
100.0,100.0,0.06976048999263461,0.0,0.3333333333333333,3
101.0,101.0,0.0797262742772967,0.009965784284662091,0.14285714285714285,7
102.0,102.0,0.08969205856195879,0.009965784284662091,0.1111111111111111,9
103.0,103.0,0.0797262742772967,-0.009965784284662091,0.16666666666666666,6
104.0,104.0,0.0797262742772967,0.0,0.2,5
105.0,105.0,0.049828921423310434,-0.029897352853986266,0.25,4
106.0,106.0,0.059794705707972524,0.009965784284662091,0.2,5
107.0,107.0,0.049828921423310434,-0.009965784284662091,0.25,4
108.0,108.0,0.059794705707972524,0.009965784284662091,0.125,8
109.0,109.0,0.0797262742772967,0.019931568569324175,0.14285714285714285,7
110.0,110.0,0.0797262742772967,0.0,0.125,8
111.0,111.0,0.08969205856195879,0.009965784284662091,0.2,5
112.0,112.0,0.06976048999263461,-0.019931568569324182,0.16666666666666666,6
113.0,113.0,0.06976048999263461,0.0,0.25,4
114.0,114.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333,3
115.0,115.0,0.06976048999263461,0.009965784284662084,0.25,4
116.0,116.0,0.06976048999263461,0.0,0.2,5
117.0,117.0,0.06976048999263461,0.0,0.2,5
118.0,118.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333,3
119.0,119.0,0.06976048999263461,0.019931568569324175,0.16666666666666666,6
120.0,120.0,0.019931568569324175,-0.049828921423310434,0.0,0
121.0,121.0,0.019931568569324175,0.0,0.0,0
122.0,122.0,0.03986313713864835,0.019931568569324175,1.0,1
123.0,123.0,0.03986313713864835,0.0,0.3333333333333333,3
124.0,124.0,0.059794705707972524,0.019931568569324175,0.25,4
125.0,125.0,0.0797262742772967,0.019931568569324175,0.16666666666666666,6
126.0,126.0,0.06976048999263461,-0.009965784284662091,0.25,4
127.0,127.0,0.06976048999263461,0.0,0.2,5
128.0,128.0,0.09965784284662087,0.02989735285398626,0.125,8
129.0,129.0,0.08969205856195879,-0.009965784284662077,0.14285714285714285,7
130.0,130.0,0.06976048999263461,-0.019931568569324182,0.125,8
131.0,131.0,0.06976048999263461,0.0,0.14285714285714285,7
132.0,132.0,0.0797262742772967,0.009965784284662091,0.125,8
133.0,133.0,0.08969205856195879,0.009965784284662091,0.14285714285714285,7
134.0,134.0,0.0797262742772967,-0.009965784284662091,0.14285714285714285,7
135.0,135.0,0.059794705707972524,-0.019931568569324175,0.16666666666666666,6
136.0,136.0,0.0797262742772967,0.019931568569324175,0.125,8
137.0,137.0,0.08969205856195879,0.009965784284662091,0.14285714285714285,7
138.0,138.0,0.06976048999263461,-0.019931568569324182,0.14285714285714285,7
139.0,139.0,0.059794705707972524,-0.009965784284662084,0.25,4
140.0,140.0,0.059794705707972524,0.0,0.16666666666666666,6
