,Name,Duration,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,var_entropy,var_entropy_avg,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,var_entropy,var_entropy_avg,LZ,CTW,LZ_avg,CTW_avg,p_LZ,p_CTW,p_LZ_avg,p_CTW_avg,p_MIR_entropy,p_MIR_entropy_avg,p_MIR_rms,p_MIR_rms_avg,p_MIR_novelty,p_MIR_novelty_avg,p_var_entropy,p_var_entropy_avg,g_LZ,g_CTW,g_LZ_avg,g_CTW_avg,g_MIR_entropy,g_MIR_entropy_avg,g_MIR_rms,g_MIR_rms_avg,g_MIR_novelty,g_MIR_novelty_avg,g_var_entropy,g_var_entropy_avg,annot_frac,Condition,Pair
0,P3_D5_G1_M5_R1_T1,40.6,P3,MI,DI,Z1,A3,2.17,4.963954539530775,4.805555555555555,5.388311915108567,5.131578947368421,0.005756296228978949,0.009064428233887875,IMP1,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.6466966525565548,0.7246247009487782,0.0022167321994120176,0.008552928712222801,0.3662654794988703,0.3155787177192854,48.9797123893502,51.727404319257666,0.6466966525565548,0.7246247009487782,0.0022167321994120176,0.008552928712222801,0.3662654794988703,0.3155787177192854,48.9797123893502,51.727404319257666,0.009064428233887875,0.005756296228978949,0.16838918603722516,0.21780164004117014,0.009317978673996636,0.00672855731354409,0.14099406184047486,0.18267551642255497,0.7846058823055746,0.8014427468260309,0.00034622694673578166,0.005508020122987453,0.7200670165995531,0.3975775687881136,3.9971160999164415,15.44887722180936,0.15878596311810614,0.353340849782665,0.1607009361789275,0.2797503466033338,0.6180629686468209,0.6673190320001422,0.0012687092385150454,0.0016497109971077431,0.5381923086478557,0.5272054292445313,14.934385653971804,15.052602436922825,,D5_M5,P3_D5
1,P3_D5_G1_M5_R1_T1,26.9,P3,MI,DI,Z1,A3,2.18,3.024190056960853,4.805555555555555,6.307821744848391,5.131578947368421,0.014111385153928863,0.01568843348172904,IMP1,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.6599615338511596,0.7246247009487782,0.002741778903938272,0.008552928712222801,0.42432259260218985,0.3155787177192854,49.467762638420126,51.727404319257666,0.6599615338511596,0.7246247009487782,0.002741778903938272,0.008552928712222801,0.42432259260218985,0.3155787177192854,49.467762638420126,51.727404319257666,0.01568843348172904,0.014111385153928863,0.16838918603722516,0.21780164004117014,0.03216128863754455,0.04118575035833101,0.14099406184047486,0.18267551642255497,0.8083113728036772,0.8014427468260309,0.0005029173649577502,0.005508020122987453,0.3795611500715371,0.3975775687881136,6.7385434117866625,15.44887722180936,0.23349618498640073,0.39628851126111575,0.1607009361789275,0.2797503466033338,0.6289067428796314,0.6673190320001422,0.0019070045749868675,0.0016497109971077431,0.6967494803698038,0.5272054292445313,16.10473188155698,15.052602436922825,,D5_M5,P3_D5
2,P3_D5_G1_M5_R1_T1,18.8,P3,MI,DI,Z2,A2,2.19,5.803653888474462,4.805555555555555,6.924542510133432,5.131578947368421,0.21630931751437807,0.14537948359735586,IMP2,6.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.742963469425356,0.7246247009487782,0.008034536101280564,0.008552928712222801,0.25462336041128364,0.3155787177192854,53.445435057160545,51.727404319257666,0.742963469425356,0.7246247009487782,0.008034536101280564,0.008552928712222801,0.25462336041128364,0.3155787177192854,53.445435057160545,51.727404319257666,0.14537948359735586,0.21630931751437807,0.16838918603722516,0.21780164004117014,0.16232299175762327,0.2465221762674365,0.14099406184047486,0.18267551642255497,0.8039397816958866,0.8014427468260309,0.005810250438329388,0.005508020122987453,0.2759178870270772,0.3975775687881136,20.69034597797438,15.44887722180936,0.21796463583948897,0.3233164047139661,0.1607009361789275,0.2797503466033338,0.6668005047723287,0.6673190320001422,0.001728451197386387,0.0016497109971077431,0.43623483368239835,0.5272054292445313,15.957007576799501,15.052602436922825,,D5_M5,P3_D5
3,P3_D5_G1_M5_R1_T1,12.1,P3,MI,DI,Z3,A2,2.2,4.6175466157550655,4.805555555555555,4.909568837514199,5.131578947368421,0.17866921521797557,0.0998830265003416,IMP1,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7468730353702484,0.7246247009487782,0.006907594519308186,0.008552928712222801,0.2312717476512367,0.3155787177192854,52.51571103123044,51.727404319257666,0.7468730353702484,0.7246247009487782,0.006907594519308186,0.008552928712222801,0.2312717476512367,0.3155787177192854,52.51571103123044,51.727404319257666,0.0998830265003416,0.17866921521797557,0.16838918603722516,0.21780164004117014,0.15113190920732314,0.18530768443954954,0.14099406184047486,0.18267551642255497,0.7882645871691406,0.8014427468260309,0.004924803322808682,0.005508020122987453,0.2527474035418667,0.3975775687881136,20.17516148596082,15.44887722180936,0.2536296746212864,0.4898336074706135,0.1607009361789275,0.2797503466033338,0.6387461293869674,0.6673190320001422,0.002241108164047595,0.0016497109971077431,0.555117671087138,0.5272054292445313,16.530061835080684,15.052602436922825,,D5_M5,P3_D5
4,P3_D5_G1_M5_R1_T1,11.8,P3,MI,DI,Z3,A2,2.21,4.165362942721483,4.805555555555555,4.489836237569045,5.131578947368421,0.5438401859833051,0.40319274048043663,IMP1,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7704539990303775,0.7246247009487782,0.014552690265468059,0.008552928712222801,0.23856984516485386,0.3155787177192854,54.604101518345445,51.727404319257666,0.7704539990303775,0.7246247009487782,0.014552690265468059,0.008552928712222801,0.23856984516485386,0.3155787177192854,54.604101518345445,51.727404319257666,0.40319274048043663,0.5438401859833051,0.16838918603722516,0.21780164004117014,0.37861419469239443,0.4302728886611015,0.14099406184047486,0.18267551642255497,0.7929498961199878,0.8014427468260309,0.011584314261607546,0.005508020122987453,0.24501348325350597,0.3975775687881136,22.025659056543603,15.44887722180936,0.09622239202127149,0.1579855697776029,0.1607009361789275,0.2797503466033338,0.7047287266056681,0.6673190320001422,0.001974451494963729,0.0016497109971077431,0.5929347224818258,0.5272054292445313,15.64031938451978,15.052602436922825,,D5_M5,P3_D5
5,P3_D5_G1_M5_R1_T1,11.3,P3,MI,DI,Z3,A1,2.22,6.48543237716315,4.805555555555555,4.528056489956838,5.131578947368421,0.5746643932645643,0.40110094934953944,IMP2,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7874985079664211,0.7246247009487782,0.019564828222114135,0.008552928712222801,0.24239129514618685,0.3155787177192854,54.37847367467687,51.727404319257666,0.7874985079664211,0.7246247009487782,0.019564828222114135,0.008552928712222801,0.24239129514618685,0.3155787177192854,54.37847367467687,51.727404319257666,0.40110094934953944,0.5746643932645643,0.16838918603722516,0.21780164004117014,0.3151631970551792,0.38705610043722927,0.14099406184047486,0.18267551642255497,0.8257538355576335,0.8014427468260309,0.013945771971512328,0.005508020122987453,0.2736772075021397,0.3975775687881136,22.997160740214696,15.44887722180936,0.2593821002312537,0.36565716134330817,0.1607009361789275,0.2797503466033338,0.7231929662640126,0.6673190320001422,0.0030751055527450323,0.0016497109971077431,0.5053160767058996,0.5272054292445313,17.33650612784476,15.052602436922825,,D5_M5,P3_D5
6,P3_D5_G1_M5_R1_T1,12.2,P3,MI,DI,Z2,A2,2.23,5.123596922842141,4.805555555555555,6.340369533955725,5.131578947368421,0.029980605392151596,0.02928507583256087,IMP2,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7039042713253335,0.7246247009487782,0.005999480101263435,0.008552928712222801,0.4447179885126994,0.3155787177192854,50.74398539192308,51.727404319257666,0.7039042713253335,0.7246247009487782,0.005999480101263435,0.008552928712222801,0.4447179885126994,0.3155787177192854,50.74398539192308,51.727404319257666,0.02928507583256087,0.029980605392151596,0.16838918603722516,0.21780164004117014,0.04915709157608436,0.0646945587570152,0.14099406184047486,0.18267551642255497,0.8216421092145147,0.8014427468260309,0.0029769267700144237,0.005508020122987453,0.45766981546802304,0.3975775687881136,17.21216932910779,15.44887722180936,0.04340466596611703,0.05684334613054187,0.1607009361789275,0.2797503466033338,0.6783891150098142,0.6673190320001422,0.0010929484802275357,0.0016497109971077431,0.626510572734287,0.5272054292445313,14.695544178419883,15.052602436922825,,D5_M5,P3_D5
7,P3_D5_G1_M5_R1_T1,10.8,P3,MI,DI,Z1,A3,2.24,4.932387190622164,4.805555555555555,6.680120454742282,5.131578947368421,0.0004299302129161,0.0041835822617944,IMP1,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7067443220935201,0.7246247009487782,0.0028207050084762667,0.008552928712222801,0.2627932169945081,0.3155787177192854,48.972766120335876,51.727404319257666,0.7067443220935201,0.7246247009487782,0.0028207050084762667,0.008552928712222801,0.2627932169945081,0.3155787177192854,48.972766120335876,51.727404319257666,0.0041835822617944,0.0004299302129161,0.16838918603722516,0.21780164004117014,0.0041835822617944,0.0004299302129161,0.14099406184047486,0.18267551642255497,0.8733611798128592,0.8014427468260309,0.0003420340035786076,0.005508020122987453,0.28126751170493347,0.3975775687881136,12.239038863585435,15.44887722180936,0.08297438152558921,0.14239514258038335,0.1607009361789275,0.2797503466033338,0.602353972301248,0.6673190320001422,0.0010857815993250881,0.0016497109971077431,0.4903563491301363,0.5272054292445313,13.539613426629273,15.052602436922825,,D5_M5,P3_D5
8,P3_D5_G1_M5_R1_T1,11.6,P3,MI,DI,Z1,A3,2.25,6.472654593590484,4.805555555555555,5.762559334695744,5.131578947368421,0.0004299302129161,0.0041835822617944,IMP2,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7401599550727909,0.7246247009487782,0.0028809021727205066,0.008552928712222801,0.4215705065792824,0.3155787177192854,48.5285757395421,51.727404319257666,0.7401599550727909,0.7246247009487782,0.0028809021727205066,0.008552928712222801,0.4215705065792824,0.3155787177192854,48.5285757395421,51.727404319257666,0.0041835822617944,0.0004299302129161,0.16838918603722516,0.21780164004117014,0.02789054841196273,0.025832626520696136,0.14099406184047486,0.18267551642255497,0.8212056230645408,0.8014427468260309,0.0006832242578033157,0.005508020122987453,0.3840971366079125,0.3975775687881136,15.966244695521448,15.44887722180936,0.05438656940332733,0.11005072059510868,0.1607009361789275,0.2797503466033338,0.6189632277494395,0.6673190320001422,0.0009115074836446905,0.0016497109971077431,0.3694917796215811,0.5272054292445313,15.093969550394453,15.052602436922825,,D5_M5,P3_D5
9,P3_D5_G1_M5_R1_T1,11.4,P3,MI,DI,Z3,A3,2.26,4.939870406030353,4.805555555555555,3.607755425390722,5.131578947368421,0.17743052713937454,0.13387463237742123,IMP1,4.0,6,5,6,4,7,7,6,7,6.0,3,3,7,5,6,,,,,,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.7264628951909435,0.7246247009487782,0.007601452944078613,0.008552928712222801,0.22568049537401116,0.3155787177192854,53.70164256366805,51.727404319257666,0.7264628951909435,0.7246247009487782,0.007601452944078613,0.008552928712222801,0.22568049537401116,0.3155787177192854,53.70164256366805,51.727404319257666,0.13387463237742123,0.17743052713937454,0.16838918603722516,0.21780164004117014,0.1296910501156268,0.16759596718263964,0.14099406184047486,0.18267551642255497,0.7449945116646053,0.8014427468260309,0.005980058560879807,0.005508020122987453,0.2539559025945773,0.3975775687881136,21.00891654405434,15.44887722180936,0.13439758016014552,0.2040694634311831,0.1607009361789275,0.2797503466033338,0.6319403910167603,0.6673190320001422,0.0009332659280480986,0.0016497109971077431,0.4999398789432118,0.5272054292445313,13.449056868928476,15.052602436922825,,D5_M5,P3_D5
